season,venue,batting_team,bowling_team,final_score
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,112
2012,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,97
2012,Wankhede Stadium,Pune Warriors,Mumbai Indians,129
2012,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,191
2012,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,157
2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers,193
2012,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,164
2012,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,166
2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians,138
2012,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,165
2012,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils,110
2012,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,197
2012,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,205
2012,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,115
2012,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,131
2012,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,157
2012,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors,155
2012,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,134
2012,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,195
2012,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,92
2012,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,196
2012,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore,182
2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,124
2012,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,187
2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,164
2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,163
2012,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,146
2012,Feroz Shah Kotla,Pune Warriors,Delhi Daredevils,192
2012,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,163
2012,Barabati Stadium,Deccan Chargers,Kolkata Knight Riders,126
2012,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,189
